budget_ok,secteur_ok,type_ok,surface_ok,rooms_ok,urgency_level,financing_status,price_diff_pct,surface_diff,rooms_diff,budget_score,secteur_score,type_score,surface_score,rooms_score,score_total,label
0,0,1,1,0,4.0,1.0,-0.8153,70,-1,15,0,20,15,0,50,0
0,1,0,1,1,4.0,1.0,-0.7655,149,6,15,25,0,15,10,65,0
0,0,1,1,0,4.0,1.0,-0.8972,94,-1,15,0,20,15,0,50,0
0,0,1,1,1,4.0,1.0,-0.5367,77,0,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.5683,264,5,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,0.0498,372,5,15,0,0,15,10,40,0
1,0,0,1,1,4.0,1.0,-0.038,290,2,30,0,0,15,10,55,0
1,0,0,1,1,4.0,1.0,-0.1227,252,3,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.6445,33,3,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.7163,22,0,15,25,20,15,10,85,0
0,0,0,1,1,4.0,1.0,-0.4635,242,5,15,0,0,15,10,40,0
0,0,0,1,1,4.0,1.0,0.189,82,4,15,0,0,15,10,40,0
0,1,0,1,1,4.0,1.0,-0.3955,182,6,15,25,0,15,10,65,0
0,0,1,1,1,4.0,1.0,-0.6753,19,3,15,0,20,15,10,60,0
0,1,0,1,1,4.0,1.0,0.7795,194,5,0,25,0,15,10,50,0
1,0,0,1,1,4.0,1.0,-0.2457,256,4,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.4118,49,0,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.7665,109,0,15,0,20,15,10,60,0
0,0,1,1,0,4.0,1.0,-0.8283,12,-1,15,0,20,15,0,50,0
0,0,1,1,1,4.0,1.0,-0.7442,34,3,15,0,20,15,10,60,0
0,0,1,1,0,4.0,1.0,-0.579,45,-1,15,0,20,15,0,50,0
1,0,0,1,1,4.0,1.0,-0.2085,131,6,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.596,110,2,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.6555,81,1,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.4482,120,0,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.8333,65,1,15,0,20,15,10,60,0
1,0,0,1,1,4.0,1.0,-0.1762,148,5,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.798,1,3,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.8303,94,2,15,0,20,15,10,60,0
0,1,0,1,1,4.0,1.0,-0.4385,201,7,15,25,0,15,10,65,0
0,0,1,1,1,4.0,1.0,-0.5095,14,2,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.754,212,7,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,0.8728,224,3,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,-0.6787,161,6,15,0,0,15,10,40,0
0,0,0,1,1,4.0,1.0,0.2037,182,1,0,0,0,15,10,25,0
1,0,0,1,1,4.0,1.0,-0.148,256,5,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.713,71,0,15,0,20,15,10,60,0
1,1,0,1,1,4.0,1.0,-0.326,280,6,30,25,0,15,10,80,1
0,0,1,1,1,4.0,1.0,-0.808,89,2,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.809,80,2,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.4238,118,3,0,0,0,15,10,25,0
0,0,1,1,1,4.0,1.0,-0.7033,29,2,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.309,191,2,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,-0.7478,81,2,15,0,0,15,10,40,0
0,0,1,1,1,4.0,1.0,-0.6963,79,2,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.6973,96,2,15,0,20,15,10,60,0
0,1,1,1,1,4.0,1.0,-0.7973,69,1,15,25,20,15,10,85,0
0,0,1,1,1,4.0,1.0,-0.8795,90,0,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.7325,76,0,15,0,20,15,10,60,0
0,1,0,1,1,4.0,1.0,0.7218,185,7,0,25,0,15,10,50,0
1,0,0,1,1,4.0,1.0,-0.0607,261,2,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.6805,115,2,15,0,20,15,10,60,0
1,1,0,1,1,4.0,1.0,-0.341,229,2,30,25,0,15,10,80,1
1,0,0,1,1,4.0,1.0,-0.025,292,1,30,0,0,15,10,55,0
0,0,1,1,1,4.0,1.0,-0.7748,91,3,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,-0.5308,88,1,15,0,0,15,10,40,0
0,0,0,1,1,4.0,1.0,0.7398,157,5,0,0,0,15,10,25,0
0,0,0,1,1,4.0,1.0,0.0838,282,4,15,0,0,15,10,40,0
0,0,0,1,1,4.0,1.0,-0.363,328,4,15,0,0,15,10,40,0
0,0,1,1,1,4.0,1.0,-0.599,123,2,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.746,112,3,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.505,118,3,15,0,20,15,10,60,0
0,1,0,1,1,4.0,1.0,0.1792,122,5,15,25,0,15,10,65,0
0,1,1,1,1,4.0,1.0,-0.513,117,3,15,25,20,15,10,85,0
0,0,1,1,1,4.0,1.0,-0.3915,70,0,15,0,20,15,10,60,0
0,0,1,1,1,4.0,1.0,-0.7833,2,3,15,0,20,15,10,60,0
1,0,0,1,1,4.0,1.0,-0.28,378,3,30,0,0,15,10,55,0
1,0,0,1,1,4.0,1.0,-0.1792,231,3,30,0,0,15,10,55,0
0,1,0,1,1,4.0,1.0,0.3877,240,2,0,25,0,15,10,50,0
0,0,0,1,1,4.0,1.0,0.0215,224,3,15,0,0,15,10,40,0
0,0,1,1,1,4.0,1.0,-0.4243,86,0,15,0,20,15,10,60,0
0,0,0,1,1,4.0,1.0,0.1077,268,6,15,0,0,15,10,40,0
0,0,0,1,1,4.0,1.0,0.6508,243,5,0,0,0,15,10,25,0
1,1,0,1,1,4.0,1.0,-0.077,232,1,30,25,0,15,10,80,1
